,Valores
1467,1047.0
1468,1039.4
1469,1036.9
1470,1039.2
1471,1026.5
1472,1017.6
1473,1025.5
1474,1039.7
1475,1036.1
1476,1040.5
1477,1057.3
1478,1065.7
1479,1062.1
1480,1043.9
1481,1047.9
1482,1065.6
1483,1063.9
1484,1058.5
1485,1040.6
1486,1041.8
1487,1044.5
1488,1045.0
1489,1029.5
1490,1025.0
1491,1021.2
1492,1030.2
1493,1029.3
1494,1050.0
1495,1057.6
1496,1059.2
1497,1055.3
1498,1069.8
1499,1065.9
