,Valores
205,341.09
206,340.98
207,339.74
208,334.36
209,330.8
210,329.83
211,329.84
212,330.6
213,336.45
214,340.76
215,340.53
216,336.8
217,336.37
218,341.95
219,351.46
220,352.87
221,356.87
222,354.46
223,350.85
224,352.73
225,348.29
226,348.77
227,349.04
228,348.86
229,354.05
230,355.06
231,355.75
232,359.06
233,361.32
234,364.11
235,370.87
236,372.29
237,371.54
238,371.47
239,367.99
240,370.42
241,371.5
242,368.83
243,365.72
244,370.17
245,371.22
246,372.3
247,372.4
248,372.41
249,372.4
250,371.05
251,371.2
252,373.84
253,372.19
254,367.51
255,367.24
256,360.24
257,359.0
258,357.45
259,361.92
260,361.8
261,355.75
262,357.3
263,365.2
264,375.81
265,376.99
266,379.9
267,379.03
268,383.91
269,391.33
270,394.28
271,396.8
272,400.61
273,408.53
274,414.2
275,417.69
276,424.8
277,432.2
278,439.24
279,435.01
280,436.8
281,444.1
282,443.98
283,447.97
284,444.31
285,448.71
286,450.32
287,446.02
288,446.38
289,448.95
290,451.09
291,447.71
292,450.82
293,453.05
294,456.73
295,461.13
296,473.05
297,473.8
298,475.74
299,475.11
300,467.15
301,461.4
302,468.18
303,467.79
304,466.29
305,466.27
306,462.81
307,466.09
308,464.6
309,464.15
310,468.49
311,478.57
312,482.37
313,482.3
314,480.86
315,491.2
316,495.05
317,497.57
318,495.79
319,495.65
320,492.46
321,490.76
322,499.31
323,501.62
324,500.84
325,506.75
326,511.31
327,506.62
328,501.19
329,494.38
330,496.08
331,498.45
332,496.03
333,494.64
334,487.74
335,484.72
336,487.85
337,491.13
338,492.1
339,491.48
340,491.51
341,492.51
342,497.81
343,493.42
344,493.93
345,488.79
346,478.08
347,481.77
348,481.38
349,480.1
350,483.6
351,487.29
352,489.6
353,492.67
354,497.17
355,499.05
356,503.19
357,506.11
358,507.1
359,507.25
360,505.2
361,502.94
362,498.54
363,495.85
364,496.62
365,491.05
366,491.14
367,495.07
368,494.32
369,491.59
370,485.36
371,485.88
372,485.82
373,475.23
374,473.3
375,473.08
376,476.24
377,475.92
378,481.31
379,478.78
380,474.32
381,474.05
382,479.51
383,483.64
384,487.17
385,488.37
386,492.71
387,496.19
388,493.6
389,493.42
390,496.8
391,497.0
392,494.99
393,489.65
394,487.42
395,490.28
396,492.69
397,493.35
398,498.27
399,502.04
400,504.15
401,505.67
402,502.61
403,505.2
404,507.46
405,509.39
406,508.31
407,510.0
408,514.4
409,517.68
410,515.67
411,512.47
412,497.64
413,502.05
414,517.97
415,518.3
416,521.06
417,521.38
418,521.75
419,526.29
420,526.39
421,525.68
422,520.91
423,517.92
424,516.93
425,516.94
426,518.07
427,511.28
428,514.76
429,521.13
430,516.71
431,515.68
432,515.17
433,518.55
434,522.67
435,527.19
436,524.69
437,526.47
438,527.82
439,526.94
440,524.48
441,526.88
442,528.51
443,526.33
444,520.51
445,520.4
446,516.2
447,517.25
448,513.81
449,515.94
450,519.05
451,525.66
452,534.11
453,540.94
454,536.27
455,538.9
456,536.96
457,537.14
458,535.17
459,528.75
460,525.13
461,529.41
462,534.51
463,541.32
464,542.98
465,540.93
466,537.5
467,538.82
468,539.48
469,545.28
470,548.08
471,550.71
472,555.68
473,556.17
474,554.84
475,531.28
476,534.73
477,523.47
478,526.12
479,530.33
480,526.46
481,522.88
482,522.23
483,522.78
484,523.9
485,530.91
486,533.34
487,535.28
488,534.03
489,536.3
490,535.35
491,534.23
492,531.64
493,536.02
494,540.9
495,543.73
496,539.7
497,539.84
498,534.53
499,535.76
500,543.9
501,549.56
502,559.3
503,565.71
504,579.75
505,586.34
506,586.45
507,592.65
508,597.9
509,602.29
510,610.32
511,619.8
512,615.7
513,617.63
514,625.75
515,630.82
516,627.34
517,626.85
518,619.38
519,604.87
520,620.68
521,622.86
522,624.68
523,621.0
524,621.29
525,616.31
526,621.37
527,620.21
528,623.43
529,631.0
530,636.97
531,637.67
532,634.95
533,634.13
534,633.37
535,644.92
536,639.1
537,636.43
538,626.41
539,622.41
540,632.23
541,629.75
542,624.93
543,621.4
544,632.4
545,633.95
546,633.47
547,635.47
548,634.25
549,630.29
550,621.97
551,615.95
552,615.82
553,623.46
554,617.14
555,615.92
556,618.62
557,617.94
558,623.27
559,624.94
560,625.96
561,624.28
562,621.83
563,618.68
564,619.48
565,615.4
566,604.67
567,602.07
568,603.77
569,602.09
570,593.82
571,590.01
572,596.29
573,581.61
574,573.68
575,586.75
576,584.24
577,588.15
578,594.81
579,600.03
580,591.81
581,577.2
582,575.05
583,578.23
584,576.05
585,572.89
586,566.94
587,560.33
588,569.94
589,578.68
590,578.14
591,583.54
592,588.07
593,589.36
594,587.16
595,585.76
596,587.13
597,583.96
598,582.38
599,576.46
600,574.43
601,576.53
602,578.05
603,580.29
604,579.1
605,580.3
606,575.65
607,577.35
608,580.49
609,585.31
610,588.37
611,589.18
612,589.93
613,588.26
614,585.43
615,582.01
616,573.8
617,569.71
618,567.68
619,569.52
620,569.01
621,564.07
622,553.24
623,549.17
624,554.2
625,549.73
626,553.36
627,551.39
628,548.2
629,547.84
630,558.8
631,563.6
632,568.99
633,563.35
634,563.17
635,557.41
636,557.57
637,564.75
638,567.8
639,570.22
640,575.21
641,575.47
642,576.19
643,570.52
644,564.28
645,568.63
646,563.88
647,565.24
648,565.61
649,564.73
650,571.63
651,577.49
652,578.8
653,580.83
654,582.36
655,581.32
656,576.87
657,574.02
658,573.75
659,573.14
660,571.6
661,570.85
662,570.99
663,573.18
664,572.47
665,570.87
666,567.61
667,567.86
668,563.7
669,555.39
670,554.22
671,558.8
672,563.27
673,563.56
674,563.12
675,565.61
676,571.25
677,574.88
678,573.44
679,571.17
680,574.89
681,581.24
682,583.01
683,594.21
684,587.86
685,585.89
686,587.82
687,589.12
688,588.58
689,583.0
690,582.92
691,585.93
692,577.2
693,575.34
694,577.63
695,583.27
696,578.33
697,571.63
698,565.21
699,570.55
700,569.2
701,573.88
702,570.52
703,573.84
704,576.44
705,576.22
706,578.64
707,582.61
708,590.67
709,592.7
710,597.15
711,597.12
712,597.3
713,598.92
714,596.95
715,601.39
716,605.82
717,605.17
718,607.57
719,604.58
720,605.52
721,614.08
722,616.82
723,622.05
724,627.76
725,634.92
726,634.37
727,637.16
728,634.01
729,627.07
730,634.86
731,638.57
732,642.6
733,638.84
734,645.94
735,648.33
736,649.49
737,652.73
738,653.95
739,652.91
740,656.36
741,661.6
742,666.53
743,667.12
744,663.92
745,658.93
746,655.79
747,654.73
748,650.75
749,649.63
750,658.46
751,661.29
752,662.46
753,660.84
754,662.96
755,665.88
756,666.25
757,669.01
758,671.85
759,676.95
760,671.8
761,674.34
762,681.85
763,678.21
764,677.21
765,682.4
766,679.45
767,686.78
768,695.7
769,697.15
770,698.13
771,696.81
772,697.44
773,700.77
774,701.63
775,706.95
776,707.16
777,697.9
778,694.67
779,696.34
780,701.77
781,705.12
782,708.67
783,708.85
784,700.98
785,698.44
786,692.21
787,695.02
788,695.88
789,690.53
790,665.39
791,659.43
792,662.45
793,663.61
794,652.42
795,651.4
796,662.46
797,667.07
798,670.77
799,669.51
800,677.72
801,683.92
802,680.73
803,681.37
804,687.23
805,688.96
806,692.87
807,694.28
808,692.78
809,695.21
810,695.47
811,687.4
812,687.41
813,682.72
814,676.62
815,675.04
816,674.36
817,681.01
818,681.54
819,680.76
820,686.25
821,690.13
822,686.64
823,669.85
824,670.71
825,664.14
826,668.88
827,666.33
828,673.12
829,673.83
830,673.94
831,670.32
832,666.78
833,663.03
834,661.97
835,664.04
836,663.51
837,658.41
838,645.87
839,652.52
840,658.16
841,658.45
842,661.42
843,666.71
844,678.16
845,683.26
846,680.04
847,681.44
848,682.82
849,683.06
850,681.69
851,675.64
852,676.37
853,677.96
854,680.78
855,690.43
856,697.43
857,694.29
858,694.69
859,695.04
860,704.09
861,704.59
862,700.53
863,704.28
864,705.86
865,706.22
866,702.01
867,694.61
868,687.74
869,689.24
870,688.05
871,693.19
872,696.41
873,697.34
874,696.25
875,695.94
876,689.59
877,688.74
878,686.77
879,684.79
880,688.72
881,694.81
882,702.84
883,701.07
884,703.95
885,703.59
886,704.49
887,702.22
888,698.79
889,702.71
890,705.81
891,707.67
892,708.47
893,712.49
894,708.69
895,699.73
896,695.83
897,701.9
898,700.08
899,695.52
900,700.24
901,704.54
902,701.0
903,705.59
904,707.24
905,704.7
906,707.66
907,709.01
908,713.79
909,715.5
910,718.08
911,718.49
912,717.08
913,718.77
914,717.12
915,718.26
916,726.89
917,731.01
918,734.83
919,730.48
920,730.96
921,730.86
922,735.14
923,733.66
924,731.39
925,734.07
926,737.38
927,742.84
928,746.15
929,748.65
930,749.71
931,739.35
932,730.73
933,737.71
934,744.31
935,740.32
936,732.64
937,739.55
938,739.8
939,740.11
940,740.21
941,733.56
942,745.54
943,752.26
944,754.65
945,759.95
946,763.66
947,763.17
948,762.78
949,763.23
950,764.84
951,762.27
952,764.77
953,762.49
954,764.27
955,767.65
956,772.46
957,778.97
958,785.41
959,787.42
960,782.91
961,768.71
962,768.25
963,771.28
964,772.68
965,769.75
966,765.46
967,771.88
968,773.49
969,779.26
970,783.77
971,785.66
972,772.95
973,757.26
974,762.99
975,766.21
976,769.84
977,776.5
978,778.98
979,779.32
980,772.45
981,771.69
982,762.36
983,754.34
984,751.56
985,738.13
986,746.82
987,753.18
988,754.87
989,751.54
990,754.39
991,763.81
992,766.73
993,772.22
994,771.09
995,769.35
996,767.89
997,761.49
998,760.74
999,759.72
1000,751.47
1001,752.97
1002,755.53
1003,759.23
1004,760.15
1005,755.63
1006,756.07
1007,758.7
1008,761.06
1009,764.56
1010,768.48
1011,771.08
1012,776.8
1013,770.76
1014,774.28
1015,778.05
1016,780.41
1017,782.94
1018,786.69
1019,785.52
1020,786.87
1021,787.81
1022,792.31
1023,792.18
1024,793.02
1025,789.28
1026,793.03
1027,794.28
1028,790.65
1029,786.39
1030,788.8
1031,792.88
1032,796.53
1033,800.47
1034,797.24
1035,799.57
1036,797.79
1037,777.28
1038,779.2
1039,782.7
1040,786.53
1041,783.42
1042,781.39
1043,785.45
1044,790.12
1045,792.62
1046,790.24
1047,788.85
1048,791.15
1049,789.11
1050,779.24
1051,783.78
1052,792.5
1053,788.64
1054,783.47
1055,784.58
1056,790.55
1057,795.05
1058,792.12
1059,793.05
1060,789.09
1061,789.2
1062,792.8
1063,793.52
1064,798.99
1065,803.85
1066,803.93
1067,797.3
1068,796.34
1069,797.51
1070,786.68
1071,783.45
1072,772.5
1073,755.29
1074,744.91
1075,743.46
1076,727.41
1077,750.95
1078,750.72
1079,755.17
1080,748.71
1081,748.11
1082,739.22
1083,727.38
1084,727.31
1085,727.97
1086,720.45
1087,712.85
1088,705.52
1089,718.74
1090,722.56
1091,730.8
1092,734.21
1093,731.69
1094,733.84
1095,740.68
1096,739.37
1097,740.3
1098,740.55
1099,732.86
1100,722.96
1101,725.0
1102,717.0
1103,719.61
1104,716.92
1105,711.91
1106,711.52
1107,721.9
1108,727.31
1109,726.7
1110,724.95
1111,731.47
1112,732.07
1113,731.64
1114,733.14
1115,735.19
1116,735.52
1117,739.5
1118,742.38
1119,743.43
1120,739.3
1121,729.79
1122,728.88
1123,734.25
1124,731.7
1125,735.98
1126,735.84
1127,734.97
1128,729.35
1129,718.85
1130,708.79
1131,712.74
1132,700.85
1133,693.79
1134,702.68
1135,702.05
1136,704.01
1137,705.96
1138,706.85
1139,703.59
1140,701.0
1141,706.53
1142,707.46
1143,706.83
1144,709.59
1145,719.35
1146,721.56
1147,721.36
1148,722.62
1149,719.32
1150,712.77
1151,715.03
1152,716.68
1153,716.88
1154,715.66
1155,712.13
1156,712.43
1157,722.16
1158,724.85
1159,724.8
1160,723.69
1161,720.18
1162,718.67
1163,720.47
1164,722.61
1165,728.2
1166,728.2
1167,731.61
1168,732.89
1169,735.51
1170,742.66
1171,742.17
1172,742.43
1173,742.29
1174,747.98
1175,751.72
1176,754.8
1177,762.94
1178,763.21
1179,766.46
1180,765.62
1181,758.95
1182,759.23
1183,759.48
1184,764.28
1185,769.3
1186,763.73
1187,760.01
1188,765.83
1189,768.61
1190,778.66
1191,777.91
1192,776.72
1193,766.74
1194,760.71
1195,760.44
1196,757.46
1197,755.63
1198,755.37
1199,760.01
1200,759.34
1201,764.29
1202,760.88
1203,747.3
1204,746.28
1205,744.19
1206,749.96
1207,756.81
1208,765.57
1209,767.0
1210,767.89
1211,767.08
1212,765.78
1213,764.81
1214,770.62
1215,768.24
1216,765.38
1217,761.21
1218,758.26
1219,763.24
1220,767.47
1221,776.15
1222,777.49
1223,772.19
1224,771.82
1225,772.1
1226,766.08
1227,762.31
1228,767.54
1229,767.25
1230,764.38
1231,762.12
1232,768.14
1233,769.02
1234,769.64
1235,765.84
1236,764.67
1237,757.74
1238,741.21
1239,736.7
1240,742.52
1241,745.73
1242,751.48
1243,750.32
1244,741.19
1245,745.02
1246,745.71
1247,741.23
1248,734.27
1249,719.12
1250,719.05
1251,719.12
1252,719.49
1253,725.67
1254,730.68
1255,729.07
1256,727.89
1257,728.51
1258,737.12
1259,739.34
1260,742.19
1261,746.19
1262,742.46
1263,749.53
1264,751.96
1265,743.58
1266,745.84
1267,745.66
1268,749.69
1269,752.09
1270,756.52
1271,755.74
1272,756.51
1273,762.16
1274,768.16
1275,772.14
1276,772.38
1277,768.55
1278,762.05
1279,759.51
1280,763.2
1281,760.98
1282,757.56
1283,758.91
1284,751.83
1285,755.2
1286,758.31
1287,763.64
1288,772.06
1289,778.85
1290,778.97
1291,783.77
1292,785.44
1293,790.43
1294,789.42
1295,790.62
1296,795.63
1297,793.31
1298,786.97
1299,784.62
1300,787.93
1301,791.35
1302,791.08
1303,784.5
1304,793.73
1305,791.87
1306,793.68
1307,798.79
1308,797.77
1309,791.33
1310,795.81
1311,796.24
1312,802.22
1313,802.31
1314,808.24
1315,807.38
1316,809.34
1317,808.33
1318,810.49
1319,809.78
1320,809.1
1321,811.39
1322,818.66
1323,822.63
1324,826.14
1325,819.16
1326,816.86
1327,817.21
1328,818.05
1329,813.72
1330,816.32
1331,813.8
1332,814.69
1333,821.26
1334,824.83
1335,828.59
1336,832.64
1337,830.82
1338,825.74
1339,816.55
1340,819.01
1341,823.44
1342,828.91
1343,831.28
1344,836.91
1345,840.95
1346,843.98
1347,841.63
1348,841.79
1349,850.26
1350,846.75
1351,843.53
1352,849.29
1353,848.17
1354,847.62
1355,853.83
1356,858.94
1357,863.06
1358,868.25
1359,871.93
1360,864.06
1361,864.32
1362,871.18
1363,879.64
1364,877.98
1365,877.32
1366,871.87
1367,858.7
1368,864.58
1369,868.82
1370,872.97
1371,882.85
1372,879.4
1373,881.58
1374,886.13
1375,884.38
1376,887.98
1377,894.23
1378,895.72
1379,902.68
1380,908.65
1381,922.09
1382,929.83
1383,929.19
1384,940.09
1385,938.87
1386,926.98
1387,919.56
1388,920.52
1389,926.81
1390,933.45
1391,934.53
1392,941.82
1393,952.93
1394,969.76
1395,976.63
1396,970.22
1397,988.63
1398,994.15
1399,999.33
1400,1005.9
1401,988.53
1402,952.83
1403,960.57
1404,961.77
1405,978.57
1406,993.75
1407,1000.2
1408,1010.7
1409,1005.3
1410,1001.2
1411,991.11
1412,983.75
1413,982.7
1414,991.09
1415,995.22
1416,997.12
1417,1005.1
1418,1000.6
1419,1004.1
1420,1012.4
1421,1012.4
1422,1025.8
1423,1029.2
1424,1031.3
1425,1019.7
1426,1025.3
1427,1028.2
1428,1020.9
1429,1020.0
1430,1008.1
1431,1003.6
1432,1012.6
1433,1020.1
1434,1019.5
1435,1039.3
1436,1044.3
1437,1051.1
1438,1060.0
1439,1066.6
1440,1065.0
1441,1067.4
1442,1067.0
1443,1051.1
1444,1050.2
1445,1060.3
1446,1065.1
1447,1058.5
1448,1053.4
1449,1046.2
1450,1038.0
1451,1026.5
1452,1047.0
1453,1043.5
1454,1027.6
1455,1020.5
1456,1002.3
1457,1014.2
1458,1012.0
1459,984.74
1460,983.47
1461,1001.6
1462,1015.6
1463,1018.4
1464,1018.1
1465,1035.4
1466,1045.1
1467,1047.0
1468,1039.4
1469,1036.9
1470,1039.2
1471,1026.5
1472,1017.6
1473,1025.5
1474,1039.7
1475,1036.1
1476,1040.5
1477,1057.3
1478,1065.7
1479,1062.1
1480,1043.9
1481,1047.9
1482,1065.6
1483,1063.9
1484,1058.5
1485,1040.6
1486,1041.8
1487,1044.5
1488,1045.0
1489,1029.5
1490,1025.0
1491,1021.2
1492,1030.2
1493,1029.3
1494,1050.0
1495,1057.6
1496,1059.2
1497,1055.3
1498,1069.8
1499,1065.9
