,Valores
205,341.09
206,340.98
207,339.74
208,334.36
209,330.8
210,329.83
211,329.84
212,330.6
213,336.45
214,340.76
215,340.53
216,336.8
217,336.37
218,341.95
219,351.46
220,352.87
221,356.87
222,354.46
223,350.85
224,352.73
225,348.29
226,348.77
227,349.04
228,348.86
229,354.05
230,355.06
231,355.75
232,359.06
233,361.32
234,364.11
235,370.87
236,372.29
237,371.54
238,371.47
239,367.99
240,370.42
241,371.5
242,368.83
243,365.72
244,370.17
245,371.22
246,372.3
247,372.4
248,372.41
249,372.4
250,371.05
251,371.2
252,373.84
253,372.19
254,367.51
255,367.24
256,360.24
257,359.0
258,357.45
259,361.92
260,361.8
261,355.75
262,357.3
263,365.2
264,375.81
265,376.99
266,379.9
267,379.03
268,383.91
269,391.33
270,394.28
271,396.8
272,400.61
273,408.53
274,414.2
275,417.69
276,424.8
277,432.2
278,439.24
279,435.01
280,436.8
281,444.1
282,443.98
283,447.97
284,444.31
285,448.71
286,450.32
287,446.02
288,446.38
289,448.95
290,451.09
291,447.71
292,450.82
293,453.05
294,456.73
295,461.13
296,473.05
297,473.8
298,475.74
299,475.11
300,467.15
301,461.4
302,468.18
303,467.79
304,466.29
305,466.27
306,462.81
307,466.09
308,464.6
309,464.15
310,468.49
311,478.57
312,482.37
313,482.3
314,480.86
315,491.2
316,495.05
317,497.57
318,495.79
319,495.65
320,492.46
321,490.76
322,499.31
323,501.62
324,500.84
325,506.75
326,511.31
327,506.62
328,501.19
329,494.38
330,496.08
331,498.45
332,496.03
333,494.64
334,487.74
335,484.72
336,487.85
337,491.13
338,492.1
339,491.48
340,491.51
341,492.51
342,497.81
343,493.42
344,493.93
345,488.79
346,478.08
347,481.77
348,481.38
349,480.1
350,483.6
351,487.29
352,489.6
353,492.67
354,497.17
355,499.05
356,503.19
357,506.11
358,507.1
359,507.25
360,505.2
361,502.94
362,498.54
363,495.85
364,496.62
365,491.05
366,491.14
367,495.07
368,494.32
369,491.59
370,485.36
371,485.88
372,485.82
373,475.23
374,473.3
375,473.08
376,476.24
377,475.92
378,481.31
379,478.78
380,474.32
381,474.05
382,479.51
383,483.64
384,487.17
385,488.37
386,492.71
387,496.19
388,493.6
389,493.42
390,496.8
391,497.0
392,494.99
393,489.65
394,487.42
395,490.28
396,492.69
397,493.35
398,498.27
399,502.04
400,504.15
401,505.67
402,502.61
403,505.2
404,507.46
405,509.39
406,508.31
407,510.0
408,514.4
409,517.68
410,515.67
411,512.47
412,497.64
413,502.05
414,517.97
415,518.3
416,521.06
417,521.38
418,521.75
419,526.29
420,526.39
421,525.68
422,520.91
423,517.92
424,516.93
425,516.94
426,518.07
427,511.28
428,514.76
429,521.13
430,516.71
431,515.68
432,515.17
433,518.55
434,522.67
435,527.19
436,524.69
437,526.47
438,527.82
439,526.94
440,524.48
441,526.88
442,528.51
443,526.33
444,520.51
445,520.4
446,516.2
447,517.25
448,513.81
449,515.94
450,519.05
451,525.66
452,534.11
453,540.94
454,536.27
455,538.9
456,536.96
457,537.14
458,535.17
459,528.75
460,525.13
461,529.41
462,534.51
463,541.32
464,542.98
465,540.93
466,537.5
467,538.82
468,539.48
469,545.28
470,548.08
471,550.71
472,555.68
473,556.17
474,554.84
475,531.28
476,534.73
477,523.47
478,526.12
479,530.33
480,526.46
481,522.88
482,522.23
483,522.78
484,523.9
485,530.91
486,533.34
487,535.28
488,534.03
489,536.3
490,535.35
491,534.23
492,531.64
493,536.02
494,540.9
495,543.73
496,539.7
497,539.84
498,534.53
499,535.76
500,543.9
501,549.56
502,559.3
503,565.71
504,579.75
505,586.34
506,586.45
507,592.65
508,597.9
509,602.29
510,610.32
511,619.8
512,615.7
513,617.63
514,625.75
515,630.82
516,627.34
517,626.85
518,619.38
519,604.87
520,620.68
521,622.86
522,624.68
523,621.0
524,621.29
525,616.31
526,621.37
527,620.21
528,623.43
529,631.0
530,636.97
531,637.67
532,634.95
533,634.13
534,633.37
535,644.92
536,639.1
537,636.43
538,626.41
539,622.41
540,632.23
541,629.75
542,624.93
543,621.4
544,632.4
545,633.95
546,633.47
547,635.47
548,634.25
549,630.29
550,621.97
551,615.95
552,615.82
553,623.46
554,617.14
555,615.92
556,618.62
557,617.94
558,623.27
559,624.94
560,625.96
561,624.28
562,621.83
563,618.68
564,619.48
565,615.4
566,604.67
567,602.07
568,603.77
569,602.09
570,593.82
571,590.01
572,596.29
573,581.61
574,573.68
575,586.75
576,584.24
577,588.15
578,594.81
579,600.03
580,591.81
581,577.2
582,575.05
583,578.23
584,576.05
585,572.89
586,566.94
587,560.33
588,569.94
589,578.68
590,578.14
591,583.54
592,588.07
593,589.36
594,587.16
595,585.76
596,587.13
597,583.96
598,582.38
599,576.46
600,574.43
601,576.53
602,578.05
603,580.29
604,579.1
605,580.3
606,575.65
607,577.35
608,580.49
609,585.31
610,588.37
611,589.18
612,589.93
613,588.26
614,585.43
615,582.01
616,573.8
617,569.71
618,567.68
619,569.52
620,569.01
621,564.07
622,553.24
623,549.17
624,554.2
625,549.73
626,553.36
627,551.39
628,548.2
629,547.84
630,558.8
631,563.6
632,568.99
633,563.35
634,563.17
635,557.41
636,557.57
637,564.75
638,567.8
639,570.22
640,575.21
641,575.47
642,576.19
643,570.52
644,564.28
645,568.63
646,563.88
647,565.24
648,565.61
649,564.73
650,571.63
651,577.49
652,578.8
653,580.83
654,582.36
655,581.32
656,576.87
657,574.02
658,573.75
659,573.14
660,571.6
661,570.85
662,570.99
663,573.18
664,572.47
665,570.87
666,567.61
667,567.86
668,563.7
669,555.39
670,554.22
671,558.8
672,563.27
673,563.56
674,563.12
675,565.61
676,571.25
677,574.88
678,573.44
679,571.17
680,574.89
681,581.24
682,583.01
683,594.21
684,587.86
685,585.89
686,587.82
687,589.12
688,588.58
689,583.0
690,582.92
691,585.93
692,577.2
693,575.34
694,577.63
695,583.27
696,578.33
697,571.63
698,565.21
699,570.55
700,569.2
701,573.88
702,570.52
703,573.84
704,576.44
705,576.22
706,578.64
707,582.61
708,590.67
709,592.7
710,597.15
711,597.12
712,597.3
713,598.92
714,596.95
715,601.39
716,605.82
717,605.17
718,607.57
719,604.58
720,605.52
721,614.08
722,616.82
723,622.05
724,627.76
725,634.92
726,634.37
727,637.16
728,634.01
729,627.07
730,634.86
731,638.57
732,642.6
733,638.84
734,645.94
735,648.33
736,649.49
737,652.73
738,653.95
739,652.91
740,656.36
741,661.6
742,666.53
743,667.12
744,663.92
745,658.93
746,655.79
747,654.73
748,650.75
749,649.63
750,658.46
751,661.29
752,662.46
753,660.84
754,662.96
755,665.88
756,666.25
757,669.01
758,671.85
759,676.95
760,671.8
761,674.34
762,681.85
763,678.21
764,677.21
765,682.4
766,679.45
767,686.78
768,695.7
769,697.15
770,698.13
771,696.81
772,697.44
773,700.77
774,701.63
775,706.95
776,707.16
777,697.9
778,694.67
779,696.34
780,701.77
781,705.12
782,708.67
783,708.85
784,700.98
785,698.44
786,692.21
787,695.02
788,695.88
789,690.53
790,665.39
791,659.43
792,662.45
793,663.61
794,652.42
795,651.4
796,662.46
797,667.07
798,670.77
799,669.51
800,677.72
801,683.92
802,680.73
803,681.37
804,687.23
805,688.96
806,692.87
807,694.28
808,692.78
809,695.21
810,695.47
811,687.4
812,687.41
813,682.72
814,676.62
815,675.04
816,674.36
817,681.01
818,681.54
819,680.76
820,686.25
821,690.13
822,686.64
823,669.85
824,670.71
825,664.14
826,668.88
827,666.33
828,673.12
829,673.83
830,673.94
831,670.32
832,666.78
833,663.03
834,661.97
835,664.04
836,663.51
837,658.41
838,645.87
839,652.52
840,658.16
841,658.45
842,661.42
843,666.71
844,678.16
845,683.26
846,680.04
847,681.44
848,682.82
849,683.06
850,681.69
851,675.64
852,676.37
853,677.96
854,680.78
855,690.43
856,697.43
857,694.29
858,694.69
859,695.04
860,704.09
861,704.59
862,700.53
863,704.28
864,705.86
865,706.22
866,702.01
867,694.61
868,687.74
869,689.24
870,688.05
871,693.19
872,696.41
873,697.34
874,696.25
875,695.94
876,689.59
877,688.74
878,686.77
879,684.79
880,688.72
881,694.81
882,702.84
883,701.07
884,703.95
885,703.59
886,704.49
887,702.22
888,698.79
889,702.71
890,705.81
891,707.67
892,708.47
893,712.49
894,708.69
895,699.73
896,695.83
897,701.9
898,700.08
899,695.52
900,700.24
901,704.54
902,701.0
903,705.59
904,707.24
905,704.7
906,707.66
907,709.01
908,713.79
909,715.5
910,718.08
911,718.49
912,717.08
913,718.77
914,717.12
915,718.26
916,726.89
917,731.01
918,734.83
919,730.48
920,730.96
921,730.86
922,735.14
923,733.66
924,731.39
925,734.07
926,737.38
927,742.84
928,746.15
929,748.65
930,749.71
931,739.35
932,730.73
933,737.71
934,744.31
935,740.32
936,732.64
937,739.55
938,739.8
939,740.11
940,740.21
941,733.56
942,745.54
943,752.26
944,754.65
945,759.95
946,763.66
947,763.17
948,762.78
949,763.23
950,764.84
951,762.27
952,764.77
953,762.49
954,764.27
955,767.65
956,772.46
957,778.97
958,785.41
959,787.42
960,782.91
961,768.71
962,768.25
963,771.28
964,772.68
965,769.75
966,765.46
967,771.88
968,773.49
969,779.26
970,783.77
971,785.66
972,772.95
973,757.26
974,762.99
975,766.21
976,769.84
977,776.5
978,778.98
979,779.32
980,772.45
981,771.69
982,762.36
983,754.34
984,751.56
985,738.13
986,746.82
987,753.18
988,754.87
989,751.54
990,754.39
991,763.81
992,766.73
993,772.22
994,771.09
995,769.35
996,767.89
997,761.49
998,760.74
999,759.72
